Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,Montana,"Healthcare setting, inpatient",,191,24,,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,Montana,"Healthcare setting, outpatient or emergency room",0,29,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,Montana,Decedent's home,0,315,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,Montana,Hospice facility,0,38,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,Montana,Nursing home/long term care facility,,234,,0,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,Montana,Other,0,34,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2020,04/30/2020,By Month,2020,4,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,Montana,Total - All Places of Death,,834,31,0,0,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,Montana,"Healthcare setting, inpatient",,193,20,0,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,Montana,"Healthcare setting, outpatient or emergency room",0,31,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,Montana,Decedent's home,0,332,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,Montana,Hospice facility,0,42,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,Montana,Nursing home/long term care facility,0,181,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,Montana,Other,0,54,0,0,0,0,
04/27/2022,05/01/2020,05/31/2020,By Month,2020,5,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,Montana,Total - All Places of Death,,841,36,,0,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,Montana,"Healthcare setting, inpatient",,188,26,0,0,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,Montana,"Healthcare setting, outpatient or emergency room",,30,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,Montana,Decedent's home,0,336,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,Montana,Hospice facility,0,39,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,Montana,Nursing home/long term care facility,0,168,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,Montana,Other,0,78,0,0,0,0,
04/27/2022,06/01/2020,06/30/2020,By Month,2020,6,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,Montana,Total - All Places of Death,44,898,38,,0,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,Montana,"Healthcare setting, inpatient",23,247,25,,0,42,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,Montana,"Healthcare setting, outpatient or emergency room",0,38,0,0,0,0,
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,Montana,Decedent's home,,319,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,Montana,Hospice facility,,44,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,Montana,Nursing home/long term care facility,13,181,,0,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,Montana,Other,,66,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2020,07/31/2020,By Month,2020,7,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,Montana,Total - All Places of Death,50,947,53,24,0,79,
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,Montana,"Healthcare setting, inpatient",35,281,41,20,0,56,
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,Montana,"Healthcare setting, outpatient or emergency room",0,29,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,Montana,Decedent's home,,346,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,Montana,Hospice facility,0,38,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,Montana,Nursing home/long term care facility,,185,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,Montana,Other,0,67,0,0,0,0,
04/27/2022,08/01/2020,08/31/2020,By Month,2020,8,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Montana,Total - All Places of Death,93,977,75,43,0,125,
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Montana,"Healthcare setting, inpatient",67,291,54,36,0,85,
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Montana,"Healthcare setting, outpatient or emergency room",,39,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Montana,Decedent's home,,327,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Montana,Hospice facility,0,44,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Montana,Nursing home/long term care facility,14,216,,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Montana,Other,0,60,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2020,09/30/2020,By Month,2020,9,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Montana,Total - All Places of Death,279,1290,192,146,0,325,
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Montana,"Healthcare setting, inpatient",170,403,147,123,0,194,
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Montana,"Healthcare setting, outpatient or emergency room",,52,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Montana,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Montana,Decedent's home,17,430,15,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Montana,Hospice facility,,33,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Montana,Nursing home/long term care facility,79,302,22,15,0,86,
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Montana,Other,,69,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2020,10/31/2020,By Month,2020,10,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Montana,Total - All Places of Death,405,1325,233,198,0,440,
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Montana,"Healthcare setting, inpatient",226,441,177,156,0,247,
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Montana,"Healthcare setting, outpatient or emergency room",10,52,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Montana,Decedent's home,33,412,,,0,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Montana,Hospice facility,11,45,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Montana,Nursing home/long term care facility,124,316,31,25,0,130,
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Montana,Other,,58,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,11/01/2020,11/30/2020,By Month,2020,11,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Montana,Total - All Places of Death,376,1287,214,181,0,409,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Montana,"Healthcare setting, inpatient",220,446,159,137,0,242,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Montana,"Healthcare setting, outpatient or emergency room",,47,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Montana,Decedent's home,31,406,12,,0,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Montana,Hospice facility,,46,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Montana,Nursing home/long term care facility,111,289,33,28,0,116,
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Montana,Other,,53,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,12/01/2020,12/31/2020,By Month,2020,12,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Montana,Total - All Places of Death,179,1049,111,80,0,210,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Montana,"Healthcare setting, inpatient",97,365,77,55,0,119,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Montana,"Healthcare setting, outpatient or emergency room",,29,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Montana,Decedent's home,16,382,,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Montana,Hospice facility,,38,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Montana,Nursing home/long term care facility,58,185,18,15,0,61,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Montana,Other,0,49,0,0,0,0,
04/27/2022,01/01/2021,01/31/2021,By Month,2021,1,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Montana,Total - All Places of Death,75,867,68,37,0,106,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Montana,"Healthcare setting, inpatient",47,263,49,28,0,68,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Montana,"Healthcare setting, outpatient or emergency room",,28,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Montana,Decedent's home,,319,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Montana,Hospice facility,,29,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Montana,Nursing home/long term care facility,18,178,10,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Montana,Other,0,49,0,0,0,0,
04/27/2022,02/01/2021,02/28/2021,By Month,2021,2,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Montana,Total - All Places of Death,61,887,59,22,,99,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Montana,"Healthcare setting, inpatient",36,265,38,14,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Montana,"Healthcare setting, outpatient or emergency room",,33,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Montana,Decedent's home,12,347,10,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Montana,Hospice facility,0,34,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Montana,Nursing home/long term care facility,12,150,,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Montana,Other,0,58,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,03/01/2021,03/31/2021,By Month,2021,3,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Montana,Total - All Places of Death,33,905,44,15,0,62,
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Montana,"Healthcare setting, inpatient",19,258,35,14,0,40,
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Montana,"Healthcare setting, outpatient or emergency room",0,28,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Montana,Decedent's home,,349,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Montana,Hospice facility,0,39,0,0,0,0,
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Montana,Nursing home/long term care facility,,170,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Montana,Other,0,61,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,04/01/2021,04/30/2021,By Month,2021,4,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Montana,Total - All Places of Death,30,909,63,24,0,69,
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Montana,"Healthcare setting, inpatient",26,289,50,20,0,56,
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Montana,"Healthcare setting, outpatient or emergency room",0,28,0,0,0,0,
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Montana,Decedent's home,,323,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Montana,Hospice facility,,33,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Montana,Nursing home/long term care facility,,178,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Montana,Other,0,58,0,0,0,0,
04/27/2022,05/01/2021,05/31/2021,By Month,2021,5,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Montana,Total - All Places of Death,39,944,68,21,0,86,
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Montana,"Healthcare setting, inpatient",32,312,51,19,0,64,
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Montana,"Healthcare setting, outpatient or emergency room",,45,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Montana,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Montana,Decedent's home,,299,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Montana,Hospice facility,,31,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Montana,Nursing home/long term care facility,,188,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Montana,Other,0,69,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,06/01/2021,06/30/2021,By Month,2021,6,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Montana,Total - All Places of Death,53,990,74,29,0,98,
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Montana,"Healthcare setting, inpatient",40,310,62,27,0,75,
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Montana,"Healthcare setting, outpatient or emergency room",,46,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Montana,Decedent's home,,355,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Montana,Hospice facility,0,31,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Montana,Nursing home/long term care facility,,187,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Montana,Other,,60,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,07/01/2021,07/31/2021,By Month,2021,7,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Montana,Total - All Places of Death,152,1142,141,92,0,201,
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Montana,"Healthcare setting, inpatient",105,409,105,75,0,135,
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Montana,"Healthcare setting, outpatient or emergency room",,53,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Montana,Decedent's home,17,342,12,,0,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Montana,Hospice facility,0,32,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Montana,Nursing home/long term care facility,25,229,14,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Montana,Other,,74,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,08/01/2021,08/31/2021,By Month,2021,8,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Montana,Total - All Places of Death,294,1270,190,156,,329,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Montana,"Healthcare setting, inpatient",221,479,155,135,0,241,
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Montana,"Healthcare setting, outpatient or emergency room",,46,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Montana,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Montana,Decedent's home,41,394,20,16,,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Montana,Hospice facility,,47,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Montana,Nursing home/long term care facility,23,229,,,0,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Montana,Other,,74,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,09/01/2021,09/30/2021,By Month,2021,9,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Montana,Total - All Places of Death,444,1452,305,270,0,479,
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Montana,"Healthcare setting, inpatient",321,584,264,239,0,346,
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Montana,"Healthcare setting, outpatient or emergency room",,47,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Montana,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Montana,Decedent's home,49,439,21,16,0,54,
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Montana,Hospice facility,,55,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Montana,Nursing home/long term care facility,50,243,,,0,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Montana,Other,,82,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
04/27/2022,10/01/2021,10/31/2021,By Month,2021,10,Montana,Place of death unknown,0,0,0,0,0,0,
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Montana,Total - All Places of Death,310,1229,249,193,0,366,
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Montana,"Healthcare setting, inpatient",239,492,206,167,0,278,
04/27/2022,11/01/2021,11/30/2021,By Month,2021,11,Montana,"Healthcare setting, outpatient or emergency room",,51,,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
